id,user_id,universe_id,name,telephone
1,1,1,Blackbeard,+12345678901
2,2,2,Madara Uchiha,+12345678902
3,3,3,Cersei Lannister,+12345678903
4,4,4,Sauron,+12345678904
5,5,5,Voldemort,+12345678905
6,6,6,Saruman,+12345678906
7,7,7,The White Witch,+12345678907
8,8,8,Colonel Quaritch,+12345678908
9,9,9,Megatron,+12345678909
10,10,10,Agent Smith,+12345678910
11,11,11,Morgana le Fay,+12345678911
12,12,12,Mordred,+12345678912
13,13,13,Loki,+12345678913
14,14,14,Killmonger,+12345678914
15,15,15,The Wicked Witch,+12345678915
16,16,1,Big Mom,+12345678916
17,17,2,Orochimaru,+12345678917
18,18,3,The Night King,+12345678918
19,19,4,Nazgûl,+12345678919
20,20,5,Bellatrix Lestrange,+12345678920
21,21,6,Smaug,+12345678921
22,22,7,The Witch King,+12345678922
23,23,8,Ramsay Bolton,+12345678923
24,24,9,The Firelord Ozai,+12345678924
25,25,10,The Beast,+12345678925
26,26,11,Decepticon Starscream,+12345678926
27,27,12,The Architect,+12345678927
28,28,13,Medusa,+12345678928
29,29,14,Mordor Orc,+12345678929
30,30,15,Hydra,+12345678930
31,31,1,Darkseid,+12345678931
32,32,2,Red Skull,+12345678932
33,33,3,Lucifer,+12345678933
34,34,4,Grindelwald,+12345678934
35,35,5,The Demogorgon,+12345678935
36,36,6,Gollum,+12345678936
37,37,7,Queen Mab,+12345678937
38,38,8,Maleficent,+12345678938
39,39,9,The Goblin King,+12345678939
40,40,10,The Green Goblin,+12345678940
41,41,11,Lex Luthor,+12345678941
42,42,12,Darth Vader,+12345678942
43,43,13,Kylo Ren,+12345678943
44,44,14,Thanos,+12345678944
45,45,15,Ultron,+12345678945
46,46,1,The Predator,+12345678946
47,47,2,The Joker,+12345678947
48,48,3,Venom,+12345678948
49,49,4,Hela,+12345678949
50,50,5,General Zod,+12345678950
